Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
0.67062,10.3685,0.001,2e-05,1000.0,1.8,0.07,50.0,0.025,I
0.39096,2.53686,0.001,2e-05,1000.0,1.8,0.07,20.0,0.025,I
0.04903,0.10289,0.007,1e-05,860.0,4.134,0.032,1.0,0.0763,I
1.0,0.1,0.001,2e-05,1000.0,1.8,0.07,2.0,0.025,I
0.00409,5.5502,0.001,2e-05,1000.0,1.8,0.07,90.0,0.025,I
0.38418,0.0645,0.001,2e-05,1000.0,1.8,0.07,70.0,0.051,B
0.00254,0.03922,0.001,2e-05,1000.0,1.8,0.07,70.0,0.051,B
0.00975,0.0982,0.001,2e-05,1000.0,1.8,0.07,85.0,0.051,B
0.65396,0.06074,0.001,2e-05,1000.0,1.8,0.07,90.0,0.051,B
0.64865,0.02498,0.001,2e-05,1000.0,1.8,0.07,90.0,0.051,B
0.09957,9.40296,0.001,2e-05,1059.0,5.02,0.07,-2.0,0.0972,SW
0.004,0.1,0.001,2e-05,1000.0,1.8,0.07,-10.0,0.025,SW
1.0,0.04,0.001,2e-05,1000.0,1.8,0.07,-10.0,0.025,SW
0.97201,2.61781,0.001,2e-05,1000.0,1.8,0.07,-70.0,0.051,SW
0.016,2.5,0.001,2e-05,1000.0,1.8,0.07,-1.0,0.051,SW
2.81016,0.01535,0.001,2e-05,1000.0,1.8,0.07,-30.0,0.051,DB
2.49795,0.25,0.001,2e-05,1000.0,1.8,0.07,0.25,0.025,DB
4.19391,0.97777,0.001,2e-05,1000.0,1.8,0.07,20.0,0.051,DB
4.29834,0.60209,0.001,2e-05,1000.0,1.8,0.07,-70.0,0.025,DB
3.33974,0.23055,0.001,0.0,1000.0,23.4429,11.07,0.0,0.1064,DB
0.1174,5.69319,0.007,1e-05,860.0,4.134,0.032,5.0,0.0258,A
0.00973,23.3041,0.001,2e-05,1000.0,1.8,0.07,50.0,0.051,A
0.4,25.0,0.001,2e-05,1000.0,1.8,0.07,0.25,0.025,A
0.14953,5.41739,0.00322,1e-05,798.80458,10.28582,0.01474,1.03,0.0549,A
0.01531,24.0392,0.001,2e-05,1000.0,1.8,0.07,-30.0,0.025,A
0.0499,0.19955,0.007,1e-05,860.0,4.134,0.032,-5.0,0.0512,SS
0.02921,0.45068,0.007,1e-05,860.0,4.134,0.032,-5.0,0.0258,SS
0.02983,5.26841,0.007,1e-05,860.0,4.134,0.032,-1.0,0.0512,SS
0.04903,0.10289,0.007,1e-05,860.0,4.134,0.032,-5.0,0.0763,SS
0.004,1.0,0.001,2e-05,1000.0,1.8,0.07,-5.0,0.051,SS
